,code_module,code_presentation,id_student,gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,Early Bird,Last Minite,Late Reg,Regular Reg,sum_click,learning_pattern,learning_pattern_0,learning_pattern_1,learning_pattern_2,avg_ahead_ddl,std_assess_score,pass_prob
0,AAA,2013J,11391,1,3,9,2,0,240,0,1,0,0,0,934.0,0.0,1.0,0.0,0.0,-1.8,3.082207001484488,0.36293983534192736
1,AAA,2013J,28400,0,3,2,1,0,60,0,1,0,0,0,1435.0,2.0,0.0,0.0,1.0,0.0,4.335896677735761,0.8771915605827588
2,AAA,2013J,31604,0,2,5,1,0,60,0,1,0,0,0,2158.0,2.0,0.0,0.0,1.0,-2.0,6.8920243760451125,0.9255624650701676
3,AAA,2013J,32885,0,1,5,0,0,60,0,1,0,0,0,1034.0,0.0,1.0,0.0,0.0,11.4,20.513410247932935,0.6163855954749782
4,AAA,2013J,38053,1,2,8,1,0,60,0,1,0,0,0,2445.0,2.0,0.0,0.0,1.0,2.0,10.977249200050075,0.9058796793123484
5,AAA,2013J,45462,1,3,3,0,0,60,0,1,0,0,0,1492.0,2.0,0.0,0.0,1.0,0.4,4.949747468305833,0.8212127278052744
6,AAA,2013J,45642,0,2,9,0,0,120,0,0,0,0,1,1428.0,2.0,0.0,0.0,1.0,2.6,0.5477225575051652,0.8719999103709034
7,AAA,2013J,52130,0,2,7,0,0,90,0,1,0,0,0,1894.0,2.0,0.0,0.0,1.0,1.4,2.6076809620810586,0.9150574155976907
8,AAA,2013J,57506,1,1,7,1,0,60,0,1,0,0,0,1319.0,2.0,0.0,0.0,1.0,-0.8,5.656854249492381,0.7328843827325212
9,AAA,2013J,58873,0,2,2,0,0,60,0,1,0,0,0,1732.0,2.0,0.0,0.0,1.0,0.4,3.5637059362410923,0.890557413289913
10,AAA,2013J,59185,1,1,6,1,0,60,0,1,0,0,0,1102.0,0.0,1.0,0.0,0.0,-0.4,9.864076236526156,0.518888883622835
11,AAA,2013J,62155,0,3,5,0,0,60,0,1,0,0,0,3388.0,2.0,0.0,0.0,1.0,-2.6,5.6568542494923815,0.9824522887172916
12,AAA,2013J,63400,1,1,4,1,0,60,0,1,0,0,0,2737.0,2.0,0.0,0.0,1.0,0.0,16.742162345408076,0.8717951912746543
13,AAA,2013J,65002,0,2,7,0,0,60,0,1,0,0,0,171.0,0.0,1.0,0.0,0.0,-2.5,1.4142135623730951,0.6015889680484214
14,AAA,2013J,70464,0,2,6,1,0,60,0,1,0,0,0,1053.0,0.0,1.0,0.0,0.0,-4.6,9.864076236526156,0.7124390883395475
15,AAA,2013J,74372,1,2,1,1,0,150,0,1,0,0,0,116.0,0.0,1.0,0.0,0.0,1.5,21.641010450839243,0.1487259419718493
16,AAA,2013J,75091,1,2,3,1,0,60,0,1,0,0,0,2992.0,2.0,0.0,0.0,1.0,-0.6,1.0000000000000004,0.9344846947591978
17,AAA,2013J,77367,1,2,3,0,0,60,0,0,0,0,1,680.0,0.0,1.0,0.0,0.0,0.8,4.82700735445887,0.48676960827292803
18,AAA,2013J,91265,1,3,0,0,0,60,0,1,0,0,0,1494.0,2.0,0.0,0.0,1.0,5.2,7.758865896508328,0.7840850769434983
19,AAA,2013J,94961,1,1,7,1,0,60,0,1,0,0,0,339.0,0.0,1.0,0.0,0.0,-2.0,13.243275663875812,0.34499163266819494
20,AAA,2013J,98094,1,1,7,1,0,60,0,1,0,0,0,2839.0,2.0,0.0,0.0,1.0,-7.8,1.51657508881031,0.923744476874803
21,AAA,2013J,100893,1,2,2,0,0,60,0,1,0,0,0,744.0,0.0,1.0,0.0,0.0,0.2,4.27784992724149,0.486300884650058
22,AAA,2013J,101781,1,1,8,1,0,60,0,1,0,0,0,4104.0,2.0,0.0,0.0,1.0,-1.8,7.987490219086344,0.9736608013804061
23,AAA,2013J,102806,1,2,3,0,0,60,0,1,0,0,0,1944.0,2.0,0.0,0.0,1.0,0.0,10.677078252031311,0.8289853984057892
24,AAA,2013J,102952,1,3,6,0,0,60,0,1,0,0,0,1150.0,0.0,1.0,0.0,0.0,-0.4,5.412947441089744,0.6895588632409055
25,AAA,2013J,106247,1,3,8,1,0,60,0,0,0,0,1,465.0,0.0,1.0,0.0,0.0,7.0,11.269427669584644,0.5250257040123488
26,AAA,2013J,106577,1,1,2,0,0,60,0,1,0,0,0,733.0,0.0,1.0,0.0,0.0,1.2,9.96493853468249,0.3945727421108544
27,AAA,2013J,110175,1,3,8,1,0,60,0,1,0,0,0,998.0,0.0,1.0,0.0,0.0,-0.4,6.580273550544841,0.6614700938520308
28,AAA,2013J,111717,0,3,9,1,0,60,0,1,0,0,0,2343.0,2.0,0.0,0.0,1.0,-3.0,1.7320508075688772,0.9642337876444174
29,AAA,2013J,113295,1,1,6,1,0,60,0,0,0,0,1,3553.0,2.0,0.0,0.0,1.0,3.4,2.1908902300206634,0.9571787661652852
30,AAA,2013J,114999,1,3,6,1,0,60,0,1,0,0,0,1358.0,2.0,0.0,0.0,1.0,1.4,10.756393447619885,0.7995443828069724
31,AAA,2013J,116541,1,3,0,0,0,60,0,1,0,0,0,1886.0,2.0,0.0,0.0,1.0,9.4,9.528903399657276,0.835369130257261
32,AAA,2013J,116692,1,2,7,1,0,60,0,1,0,0,0,1108.0,2.0,0.0,0.0,1.0,-4.6,3.0331501776206204,0.7522439347553659
33,AAA,2013J,118983,1,3,3,0,0,120,0,1,0,0,0,284.0,0.0,1.0,0.0,0.0,0.0,10.256705123966467,0.3327634435945709
34,AAA,2013J,123044,1,2,4,1,0,60,0,1,0,0,0,2041.0,2.0,0.0,0.0,1.0,1.2,2.607680962081061,0.8590024612352791
35,AAA,2013J,127582,0,2,4,0,0,180,0,1,0,0,0,1321.0,2.0,0.0,0.0,1.0,4.2,3.577708763999661,0.7377576152383968
36,AAA,2013J,129955,1,2,5,0,0,60,0,1,0,0,0,1011.0,0.0,1.0,0.0,0.0,3.0,4.58257569495584,0.5934632740882929
37,AAA,2013J,132976,0,1,8,1,0,120,0,1,0,0,0,520.0,0.0,1.0,0.0,0.0,-0.8,5.770615218501402,0.4924711619517399
38,AAA,2013J,134143,0,2,9,1,0,60,0,1,0,0,0,2732.0,2.0,0.0,0.0,1.0,-0.8,2.40831891575846,0.9675562937702074
39,AAA,2013J,135400,0,1,9,1,0,60,1,1,0,0,0,287.0,0.0,1.0,0.0,0.0,-2.5,14.849242404917497,0.47095382294016086
40,AAA,2013J,137873,1,2,4,1,0,60,0,1,0,0,0,5528.0,2.0,0.0,0.0,1.0,-1.8,5.630275304103698,0.9931762488909581
41,AAA,2013J,141355,0,2,3,0,0,240,0,1,0,0,0,1823.0,2.0,0.0,0.0,1.0,1.4,2.880972058177588,0.7394241712173977
42,AAA,2013J,141377,1,2,9,0,0,345,0,1,0,0,0,143.0,0.0,1.0,0.0,0.0,35.0,13.243275663875812,0.09700244337536566
43,AAA,2013J,142326,0,2,5,1,0,60,0,1,0,0,0,2121.0,2.0,0.0,0.0,1.0,1.0,6.268971207462992,0.9243518785486041
44,AAA,2013J,144801,0,3,8,1,0,60,0,1,0,0,0,5645.0,2.0,0.0,0.0,1.0,0.6,7.758865896508329,0.9979392822865207
45,AAA,2013J,145130,1,3,6,0,0,120,0,1,0,0,0,452.0,0.0,1.0,0.0,0.0,4.2,14.758048651498612,0.39243382195776283
46,AAA,2013J,146188,0,2,2,0,0,60,1,1,0,0,0,597.0,0.0,1.0,0.0,0.0,4.8,8.74642784226795,0.5514939224761104
47,AAA,2013J,147756,1,1,6,0,0,120,0,1,0,0,0,611.0,0.0,1.0,0.0,0.0,2.5,2.7537852736430515,0.3659010741391081
48,AAA,2013J,147793,0,1,8,0,0,90,0,1,0,0,0,155.0,0.0,1.0,0.0,0.0,13.0,13.243275663875812,0.44800044913086406
49,AAA,2013J,148993,0,2,3,1,0,60,1,1,0,0,0,1864.0,2.0,0.0,0.0,1.0,6.666666666666667,5.291502622129181,0.8824170442883691
50,AAA,2013J,151358,0,2,8,0,0,150,0,1,0,0,0,270.0,0.0,1.0,0.0,0.0,-3.6,3.6742346141747673,0.4778860548718665
51,AAA,2013J,155550,1,2,0,1,0,420,0,0,0,0,1,1529.0,2.0,0.0,0.0,1.0,0.8,5.147815070493501,0.19909519323358676
52,AAA,2013J,155854,0,2,2,1,0,60,0,1,0,0,0,4003.0,2.0,0.0,0.0,1.0,-1.0,1.6431676725154978,0.984543507131706
53,AAA,2013J,155984,0,1,7,0,0,60,0,1,0,0,0,908.0,0.0,1.0,0.0,0.0,18.0,7.0710678118654755,0.6819003158269008
54,AAA,2013J,157568,0,2,9,0,0,60,0,1,0,0,0,1405.0,2.0,0.0,0.0,1.0,9.4,10.4546640309481,0.8912636921817471
55,AAA,2013J,159954,1,2,4,1,0,60,0,1,0,0,0,1185.0,0.0,1.0,0.0,0.0,3.5,2.1213203435596424,0.6081543786814889
56,AAA,2013J,164259,1,2,7,0,0,60,0,1,0,0,0,466.0,0.0,1.0,0.0,0.0,-0.4,9.338094023943,0.4740477827010111
57,AAA,2013J,167906,0,2,4,1,0,60,0,1,0,0,0,1510.0,2.0,0.0,0.0,1.0,2.8,10.18822850156002,0.8577511841726082
58,AAA,2013J,168936,0,1,1,1,0,60,0,1,0,0,0,745.0,0.0,1.0,0.0,0.0,0.0,10.644247272588137,0.5125583836833332
59,AAA,2013J,174782,1,3,9,2,0,60,0,1,0,0,0,6318.0,2.0,0.0,0.0,1.0,-2.0,2.60768096208106,0.9980703974723735
60,AAA,2013J,175932,1,3,7,1,0,60,0,1,0,0,0,2016.0,2.0,0.0,0.0,1.0,0.4,3.8987177379235836,0.899687057618097
